item,subject_1,subject_2,measure,correlation
El espejo,sub-109,sub-112,FFD,0.47816944846895326
El espejo,sub-109,sub-058,FFD,0.46529110879200447
El espejo,sub-109,sub-018,FFD,0.3119409345687797
El espejo,sub-109,sub-048,FFD,0.32886366694626146
El espejo,sub-109,sub-087,FFD,0.3851261840847882
El espejo,sub-109,sub-091,FFD,0.4403178642966648
El espejo,sub-109,sub-083,FFD,0.4705011229725709
El espejo,sub-109,sub-065,FFD,0.4593740909528224
El espejo,sub-109,sub-077,FFD,0.2578263256964418
El espejo,sub-109,sub-039,FFD,0.36831924040538233
El espejo,sub-109,sub-053,FFD,0.1996434940871248
El espejo,sub-109,sub-075,FFD,0.29122287962743615
El espejo,sub-109,sub-060,FFD,0.3848892408931488
El espejo,sub-109,sub-103,FFD,0.3916627405356111
El espejo,sub-109,sub-105,FFD,0.29525495841256705
El espejo,sub-109,sub-064,FFD,0.2900988788970143
El espejo,sub-109,sub-010,FFD,0.10487876777279465
El espejo,sub-109,sub-034,FFD,0.36806531317259467
El espejo,sub-109,sub-002,FFD,0.4018570279179485
El espejo,sub-109,sub-085,FFD,0.36379398299332927
El espejo,sub-109,sub-021,FFD,0.28046175742513807
El espejo,sub-109,sub-096,FFD,0.4941930153792857
El espejo,sub-109,sub-027,FFD,0.33640974005762847
El espejo,sub-109,sub-006,FFD,0.4360213313140023
El espejo,sub-109,sub-066,FFD,0.3461713071640883
El espejo,sub-109,sub-101,FFD,0.24830847047076576
El espejo,sub-109,sub-042,FFD,0.40738084248467316
