subject_1,subject_2,measure,correlation
sub-109,sub-006,FFD,0.4360213313140023
sub-109,sub-066,FFD,0.3461713071640883
sub-109,sub-101,FFD,0.24830847047076576
sub-109,sub-042,FFD,0.40738084248467316
sub-109,sub-003,FFD,0.5200718740822285
sub-109,sub-107,FFD,0.3375364916442386
sub-109,sub-098,FFD,0.37479702812326526
sub-109,sub-086,FFD,0.13774722838346334
sub-109,sub-013,FFD,0.35888448314358107
sub-109,sub-068,FFD,0.45061845518948934
sub-070,sub-111,FFD,0.1313323155712407
sub-070,sub-073,FFD,0.17490921705941886
sub-070,sub-001,FFD,0.18340520700476046
sub-070,sub-095,FFD,0.15818878914506287
sub-070,sub-012,FFD,0.02677616657653006
sub-070,sub-052,FFD,0.19946126749853246
sub-070,sub-094,FFD,0.20520537690523438
sub-070,sub-088,FFD,0.014074636986839377
sub-070,sub-044,FFD,0.1934778066517051
sub-070,sub-009,FFD,0.05187458266987393
sub-070,sub-041,FFD,0.1539079788530911
sub-070,sub-024,FFD,0.1536790088156472
sub-070,sub-016,FFD,0.15806510013516958
sub-070,sub-112,FFD,0.15133104037291856
sub-070,sub-058,FFD,0.15419279750306064
sub-070,sub-018,FFD,0.12834294019399298
sub-070,sub-048,FFD,0.10765422211935492
sub-070,sub-087,FFD,0.18772858025563852
sub-070,sub-091,FFD,0.14103385405687374
sub-070,sub-083,FFD,0.15612072379253553
sub-070,sub-065,FFD,0.17903551067383158
sub-070,sub-077,FFD,0.11102057807958263
sub-070,sub-039,FFD,0.0558358769123224
sub-070,sub-053,FFD,0.1754730064928589
sub-070,sub-075,FFD,0.1750300085327338
sub-070,sub-060,FFD,0.12055963743203033
sub-070,sub-103,FFD,0.18958000854458207
sub-070,sub-105,FFD,0.09457930247706851
sub-070,sub-064,FFD,0.1307604847468495
sub-070,sub-010,FFD,0.11939050634773565
sub-070,sub-034,FFD,0.2048256645733961
sub-070,sub-002,FFD,0.09816648774798796
sub-070,sub-085,FFD,0.06335734855100358
sub-070,sub-021,FFD,0.09000337086398849
sub-070,sub-096,FFD,0.1407725923639071
sub-070,sub-027,FFD,0.06733413354083738
sub-070,sub-006,FFD,0.09380329678934317
sub-070,sub-066,FFD,0.14498169308470696
sub-070,sub-101,FFD,0.16638558557788521
sub-070,sub-042,FFD,0.10891776171295053
sub-070,sub-003,FFD,0.11403270585252853
sub-070,sub-107,FFD,0.11218749682652204
sub-070,sub-098,FFD,0.16030391188637222
sub-070,sub-086,FFD,0.18590345755792592
sub-070,sub-013,FFD,0.17707210694368658
sub-070,sub-068,FFD,0.24211410344794115
sub-111,sub-073,FFD,0.2576939518780749
sub-111,sub-001,FFD,0.366726124722077
sub-111,sub-095,FFD,0.26287394023990684
sub-111,sub-012,FFD,0.0714061270922377
sub-111,sub-052,FFD,0.2982524558962902
sub-111,sub-094,FFD,0.1826625663269924
sub-111,sub-088,FFD,0.04479764970226631
sub-111,sub-044,FFD,0.30616544782917393
sub-111,sub-009,FFD,0.2509118243223717
sub-111,sub-041,FFD,0.33140787859588033
sub-111,sub-024,FFD,0.09808177853897204
sub-111,sub-016,FFD,0.09493858053112376
sub-111,sub-112,FFD,0.2772937158782707
sub-111,sub-058,FFD,0.16220861308288395
sub-111,sub-018,FFD,0.25640613918033794
sub-111,sub-048,FFD,0.29260939217708987
sub-111,sub-087,FFD,0.29692136928225593
sub-111,sub-091,FFD,0.31235211766587784
sub-111,sub-083,FFD,0.2546956409521047
sub-111,sub-065,FFD,0.2728718820955972
sub-111,sub-077,FFD,0.0841294630020657
sub-111,sub-039,FFD,0.2162388196470935
sub-111,sub-053,FFD,0.14306925495609152
sub-111,sub-075,FFD,0.2478076211322591
sub-111,sub-060,FFD,0.22398196568179515
sub-111,sub-103,FFD,0.29603296772433774
sub-111,sub-105,FFD,0.10972669913542918
sub-111,sub-064,FFD,0.22785755476390515
sub-111,sub-010,FFD,0.11677643108161803
sub-111,sub-034,FFD,0.1722713902920211
sub-111,sub-002,FFD,0.27314029423689706
sub-111,sub-085,FFD,0.2788634755688482
sub-111,sub-021,FFD,0.06816639373476176
sub-111,sub-096,FFD,0.3383783327916923
sub-111,sub-027,FFD,0.2532541470209221
sub-111,sub-006,FFD,0.23668298974624077
sub-111,sub-066,FFD,0.2758133288813806
sub-111,sub-101,FFD,0.22348859861588397
sub-111,sub-042,FFD,0.21774981166472543
sub-111,sub-003,FFD,0.3129721935502832
sub-111,sub-107,FFD,0.1761373283529697
sub-111,sub-098,FFD,0.2314070681386069
sub-111,sub-086,FFD,0.12817135742221378
sub-111,sub-013,FFD,0.24468813991300717
sub-111,sub-068,FFD,0.3157926764069125
sub-073,sub-001,FFD,0.2882261171717795
sub-073,sub-095,FFD,0.2461878215697639
sub-073,sub-012,FFD,0.0758614715395816
sub-073,sub-052,FFD,0.22587787624198544
sub-073,sub-094,FFD,0.1909154322508155
sub-073,sub-088,FFD,0.056942478714555524
sub-073,sub-044,FFD,0.28968500317040174
sub-073,sub-009,FFD,0.22776768267750105
sub-073,sub-041,FFD,0.25200684343061125
sub-073,sub-024,FFD,0.13833384441167582
sub-073,sub-016,FFD,0.1338900614999691
sub-073,sub-112,FFD,0.21944589505336642
sub-073,sub-058,FFD,0.25617197635742656
sub-073,sub-018,FFD,0.20854785440643114
sub-073,sub-048,FFD,0.1737688098903901
sub-073,sub-087,FFD,0.29443482882865274
sub-073,sub-091,FFD,0.1768143446626381
sub-073,sub-083,FFD,0.26868808152796747
sub-073,sub-065,FFD,0.2585856916344011
sub-073,sub-077,FFD,0.1828788357030547
sub-073,sub-039,FFD,0.14177396999702008
sub-073,sub-053,FFD,0.09545287595285072
sub-073,sub-075,FFD,0.2341483221786302
sub-073,sub-060,FFD,0.2846609216889851
sub-073,sub-103,FFD,0.24126236486427682
sub-073,sub-105,FFD,0.12541204712084175
sub-073,sub-064,FFD,0.13790647067345183
sub-073,sub-010,FFD,0.0759059476133634
sub-073,sub-034,FFD,0.21448306377544507
sub-073,sub-002,FFD,0.19362274350930828
sub-073,sub-085,FFD,0.2768963296127619
sub-073,sub-021,FFD,0.09051953443756605
sub-073,sub-096,FFD,0.23415575140485875
sub-073,sub-027,FFD,0.16634007013096594
sub-073,sub-006,FFD,0.25934856173129894
sub-073,sub-066,FFD,0.33672075828442294
sub-073,sub-101,FFD,0.20853420614481283
sub-073,sub-042,FFD,0.2775544176069414
sub-073,sub-003,FFD,0.24840472002669098
sub-073,sub-107,FFD,0.19827002041638628
sub-073,sub-098,FFD,0.19635156165319753
sub-073,sub-086,FFD,0.11322766311981436
sub-073,sub-013,FFD,0.189706656365738
sub-073,sub-068,FFD,0.2986952070062411
sub-001,sub-095,FFD,0.36962667307143116
sub-001,sub-012,FFD,0.12028316219521357
sub-001,sub-052,FFD,0.3144097589537934
sub-001,sub-094,FFD,0.25639713296113475
sub-001,sub-088,FFD,0.21686103700628498
sub-001,sub-044,FFD,0.4406986548689992
sub-001,sub-009,FFD,0.3346958372240523
sub-001,sub-041,FFD,0.38250644566643377
sub-001,sub-024,FFD,0.04672488874948062
sub-001,sub-016,FFD,0.18544319074213478
sub-001,sub-112,FFD,0.42039444763747463
sub-001,sub-058,FFD,0.37808095983752515
